Name,Year,Popularity,Name,Year,Popularity,diff
Cassidy,1980,1935,Cassidy,2009,498,-1437
Gideon,1980,2578,Gideon,2009,1141,-1437
Annabell,1980,3745,Annabell,2009,2314,-1431
Malia,1980,1830,Malia,2009,406,-1424
Cristian,1980,1720,Cristian,2009,297,-1423
Kylee,1980,1750,Kylee,2009,327,-1423
Areli,1980,3233,Areli,2009,1810,-1423
Osiel,1980,4472,Osiel,2009,3050,-1422
Alexa,1980,1541,Alexa,2009,125,-1416
Shiloh,1980,2354,Shiloh,2009,941,-1413
Giancarlo,1980,2823,Giancarlo,2009,1418,-1405
Sebastian,1980,1509,Sebastian,2009,107,-1402
Lily,1980,1471,Lily,2009,73,-1398
Gia,1980,2515,Gia,2009,1117,-1398
Leena,1980,3925,Leena,2009,2527,-1398
Harrison,1980,1851,Harrison,2009,466,-1385
Giselle,1980,1682,Giselle,2009,298,-1384
Christofer,1980,4911,Christofer,2009,3529,-1382
Kaylene,1980,4630,Kaylene,2009,3252,-1378
Yael,1980,2973,Yael,2009,1596,-1377
Lila,1980,1737,Lila,2009,365,-1372
Kamil,1980,5177,Kamil,2009,3807,-1370
Rubi,1980,2889,Rubi,2009,1524,-1365
Ella,1980,1402,Ella,2009,54,-1348
Hallie,1980,2353,Hallie,2009,1011,-1342
Adrien,1980,2814,Adrien,2009,1474,-1340
Paulina,1980,2539,Paulina,2009,1205,-1334
Yusuf,1980,2917,Yusuf,2009,1584,-1333
Alexia,1980,1789,Alexia,2009,462,-1327
Maryam,1980,2979,Maryam,2009,1653,-1326
Kaycie,1980,5406,Kaycie,2009,4081,-1325
Neha,1980,3686,Neha,2009,2370,-1316
Jackelyn,1980,3683,Jackelyn,2009,2369,-1314
Ely,1980,3765,Ely,2009,2462,-1303
Brennan,1980,1752,Brennan,2009,457,-1295
Tristan,1980,1412,Tristan,2009,118,-1294
Miya,1980,3062,Miya,2009,1771,-1291
Juliette,1980,2146,Juliette,2009,861,-1285
Maxwell,1980,1516,Maxwell,2009,236,-1280
Julianna,1980,1690,Julianna,2009,410,-1280
Rowdy,1980,4141,Rowdy,2009,2861,-1280
Lane,1980,1882,Lane,2009,603,-1279
Houston,1980,3312,Houston,2009,2041,-1271
Cristopher,1980,2357,Cristopher,2009,1092,-1265
Joslyn,1980,2500,Joslyn,2009,1236,-1264
Reagan,1980,1534,Reagan,2009,271,-1263
Emmy,1980,2924,Emmy,2009,1661,-1263
Sarai,1980,2041,Sarai,2009,780,-1261
Jazmin,1980,1699,Jazmin,2009,443,-1256
Hanna,1980,2095,Hanna,2009,842,-1253
Yosef,1980,2852,Yosef,2009,1600,-1252
Delilah,1980,1659,Delilah,2009,411,-1248
Isa,1980,4382,Isa,2009,3135,-1247
Simcha,1980,4897,Simcha,2009,3654,-1243
Alec,1980,2081,Alec,2009,844,-1237
Cleo,1980,5547,Cleo,2009,4315,-1232
Sofia,1980,1342,Sofia,2009,113,-1229
Olin,1980,5761,Olin,2009,4533,-1228
August,1980,2084,August,2009,860,-1224
Illiana,1980,5391,Illiana,2009,4167,-1224
Hazel,1980,1810,Hazel,2009,588,-1222
Zeke,1980,4061,Zeke,2009,2839,-1222
Zaida,1980,4859,Zaida,2009,3640,-1219
Efraim,1980,4870,Efraim,2009,3655,-1215
Unique,1980,2907,Unique,2009,1697,-1210
Uriel,1980,2047,Uriel,2009,839,-1208
Yehuda,1980,3060,Yehuda,2009,1856,-1204
Ezra,1980,1692,Ezra,2009,494,-1198
Dulce,1980,1874,Dulce,2009,680,-1194
Diego,1980,1307,Diego,2009,120,-1187
Lola,1980,1651,Lola,2009,465,-1186
Ulises,1980,2450,Ulises,2009,1264,-1186
Paola,1980,1925,Paola,2009,741,-1184
Damarcus,1980,4466,Damarcus,2009,3283,-1183
Janay,1980,4506,Janay,2009,3326,-1180
Avery,1980,1257,Avery,2009,78,-1179
Lanie,1980,3795,Lanie,2009,2617,-1178
Dasha,1980,4076,Dasha,2009,2899,-1177
Wyatt,1980,1263,Wyatt,2009,87,-1176
Lukas,1980,1648,Lukas,2009,472,-1176
Mackenzie,1980,1345,Mackenzie,2009,182,-1163
Alina,1980,1681,Alina,2009,518,-1163
Ilan,1980,4172,Ilan,2009,3009,-1163
Emilia,1980,1955,Emilia,2009,793,-1162
Naila,1980,4942,Naila,2009,3784,-1158
Andi,1980,3999,Andi,2009,2852,-1147
Anika,1980,2187,Anika,2009,1042,-1145
Lizbeth,1980,1886,Lizbeth,2009,748,-1138
Grady,1980,1714,Grady,2009,577,-1137
Arielle,1980,2176,Arielle,2009,1039,-1137
Jackeline,1980,2963,Jackeline,2009,1826,-1137
Khalil,1980,2154,Khalil,2009,1018,-1136
Shalom,1980,4894,Shalom,2009,3758,-1136
Julissa,1980,1821,Julissa,2009,687,-1134
Camilla,1980,2147,Camilla,2009,1013,-1134
Mae,1980,3108,Mae,2009,1974,-1134
Oziel,1980,4473,Oziel,2009,3339,-1134
Hunter,1980,1210,Hunter,2009,79,-1131
Jordon,1980,3251,Jordon,2009,2121,-1130
Alden,1980,3003,Alden,2009,1880,-1123
Jada,1980,1378,Jada,2009,257,-1121
Dimitri,1980,3206,Dimitri,2009,2086,-1120
Zackary,1980,1866,Zackary,2009,747,-1119
Madeline,1980,1281,Madeline,2009,163,-1118
Samara,1980,2079,Samara,2009,963,-1116
Jackson,1980,1147,Jackson,2009,33,-1114
Jolie,1980,2370,Jolie,2009,1256,-1114
Deven,1980,2574,Deven,2009,1460,-1114
Ronaldo,1980,3243,Ronaldo,2009,2133,-1110
Leandro,1980,3006,Leandro,2009,1905,-1101
Marquise,1980,3032,Marquise,2009,1931,-1101
Rivky,1980,4392,Rivky,2009,3297,-1095
Ria,1980,3947,Ria,2009,2853,-1094
Sierra,1980,1503,Sierra,2009,412,-1091
Adrianna,1980,1463,Adrianna,2009,374,-1089
Leila,1980,1580,Leila,2009,492,-1088
Amina,1980,2403,Amina,2009,1319,-1084
Jairo,1980,2462,Jairo,2009,1378,-1084
Lillie,1980,1893,Lillie,2009,814,-1079
Daniella,1980,1693,Daniella,2009,615,-1078
Shyla,1980,2570,Shyla,2009,1492,-1078
Dillon,1980,1663,Dillon,2009,586,-1077
Valentino,1980,2698,Valentino,2009,1628,-1070
Favian,1980,4557,Favian,2009,3493,-1064
Lia,1980,1800,Lia,2009,737,-1063
Titus,1980,1961,Titus,2009,901,-1060
Sky,1980,2721,Sky,2009,1667,-1054
Tahir,1980,5312,Tahir,2009,4261,-1051
Giovanni,1980,1286,Giovanni,2009,238,-1048
Josiah,1980,1186,Josiah,2009,141,-1045
Mariam,1980,2268,Mariam,2009,1227,-1041
Trey,1980,1665,Trey,2009,626,-1039
Maximo,1980,2704,Maximo,2009,1678,-1026
Amir,1980,1577,Amir,2009,552,-1025
Aurelia,1980,2962,Aurelia,2009,1942,-1020
Brynn,1980,1700,Brynn,2009,681,-1019
Kalani,1980,3076,Kalani,2009,2059,-1017
Brantley,1980,3431,Brantley,2009,2414,-1017
Stella,1980,1295,Stella,2009,280,-1015
Juliana,1980,1349,Juliana,2009,336,-1013
Paris,1980,1774,Paris,2009,766,-1008
